tx_bairro;Freq;per
MATADOURO;152;0,000165601695238407
CABRAL;151;0,000164512210401312
OFICINAS;151;0,000164512210401312
PONTA NEGRA;151;0,000164512210401312
PRAIA DE BELAS;151;0,000164512210401312
VILA SANTA TEREZINHA;151;0,000164512210401312
JARDIM SANTANA;150;0,000163422725564217
LAGO NORTE;150;0,000163422725564217
PARQUE ALVORADA;150;0,000163422725564217
VILA SAO FRANCISCO;150;0,000163422725564217
ALTO DA GLORIA;149;0,000162333240727122
CEU AZUL;149;0,000162333240727122
MATHIAS VELHO;149;0,000162333240727122
OLINDA;149;0,000162333240727122
PARQUE NOVO MUNDO;149;0,000162333240727122
PITANGUEIRAS;149;0,000162333240727122
SETOR BUENO;149;0,000162333240727122
VILA CRUZEIRO;149;0,000162333240727122
VILA SANTA CATARINA;149;0,000162333240727122
BENEDITO BENTES;148;0,000161243755890027
COLONIA;148;0,000161243755890027
RIO VERDE;148;0,000161243755890027
2 DISTRITO;147;0,000160154271052933
BIGORRILHO;147;0,000160154271052933
MADALENA;147;0,000160154271052933
NOSSA SENHORA DE LOURDES;147;0,000160154271052933
SANTA AMELIA;147;0,000160154271052933
VILA IPIRANGA;147;0,000160154271052933
AUSTIN;146;0,000159064786215838
BARRA DO CEARA;146;0,000159064786215838
CONQUISTA;146;0,000159064786215838
DOIS DE JULHO;146;0,000159064786215838
IMIRIM;146;0,000159064786215838
JARDIM DAS ACACIAS;146;0,000159064786215838
LARANJAL;146;0,000159064786215838
MARECHAL HERMES;146;0,000159064786215838
RIBEIRA;146;0,000159064786215838
VELHA;146;0,000159064786215838
VILA MADALENA;146;0,000159064786215838
PANTANAL;145;0,000157975301378743
COMPENSA;144;0,000156885816541648
JARDIM CENTENARIO;144;0,000156885816541648
LOMBA DO PINHEIRO;144;0,000156885816541648
MIRANDOPOLIS;144;0,000156885816541648
SOCORRO;144;0,000156885816541648
TATUQUARA;144;0,000156885816541648
TOMBA;144;0,000156885816541648
ENGENHO DE DENTRO;143;0,000155796331704554
FEDERACAO;143;0,000155796331704554
JAGUARE;143;0,000155796331704554
JARDIM SAO JOAO;143;0,000155796331704554
JATOBA;143;0,000155796331704554
PLANALTO PAULISTA;143;0,000155796331704554
ROCHA MIRANDA;143;0,000155796331704554
SAO BRAS;143;0,000155796331704554
VILA EMA;143;0,000155796331704554
BOM FIM;142;0,000154706846867459
CONJUNTO RESIDENCIAL JOSE BONIFACIO;142;0,000154706846867459
MAURICIO DE NASSAU;142;0,000154706846867459
MOEMA;142;0,000154706846867459
PARQUE PAULISTANO;142;0,000154706846867459
VARADOURO;142;0,000154706846867459
VILA VERDE;142;0,000154706846867459
CORDEIRO;141;0,000153617362030364
DUQUE DE CAXIAS;141;0,000153617362030364
JARDIM CRUZEIRO;141;0,000153617362030364
JARDIM HELENA;141;0,000153617362030364
JARDIM SANTA ROSA;141;0,000153617362030364
MARTINS;141;0,000153617362030364
PRACA SECA;141;0,000153617362030364
SAO JOAO BATISTA;141;0,000153617362030364
BACACHERI;140;0,000152527877193269
CAICARA;140;0,000152527877193269
JARDIM SANTA RITA;139;0,000151438392356174
SETOR DE HABITACOES INDIVIDUAIS SUL;139;0,000151438392356174
AZENHA;138;0,00015034890751908
CAMOBI;138;0,00015034890751908
JARDIM BOA VISTA;138;0,00015034890751908
JARDIM ZAIRA;138;0,00015034890751908
MALVINAS;138;0,00015034890751908
VILA MATILDE;138;0,00015034890751908
FREGUESIA DO O;137;0,000149259422681985
JARDIM CANADA;137;0,000149259422681985
JARDIM LEONOR;137;0,000149259422681985
PERIPERI;137;0,000149259422681985
PRAIA DA COSTA;137;0,000149259422681985
PRAIA GRANDE;137;0,000149259422681985
SANTA CANDIDA;137;0,000149259422681985
SANTA ETELVINA;137;0,000149259422681985
SANTO INACIO;137;0,000149259422681985
VILA SAO PAULO;137;0,000149259422681985
BRASILANDIA;136;0,00014816993784489
CATETE;136;0,00014816993784489
CIC;136;0,00014816993784489
PONTA GROSSA;136;0,00014816993784489
ANJO DA GUARDA;135;0,000147080453007795
PENHA DE FRANCA;135;0,000147080453007795
PLATAFORMA;135;0,000147080453007795
URUGUAI;135;0,000147080453007795
VILA VIRGINIA;135;0,000147080453007795
ESTADOS;134;0,000145990968170701
PARAISOPOLIS;134;0,000145990968170701
PINDORAMA;134;0,000145990968170701
PLANO PILOTO;134;0,000145990968170701
SACRAMENTA;134;0,000145990968170701
TAGUATINGA SUL (TAGUATINGA);134;0,000145990968170701
VILA INDEPENDENCIA;134;0,000145990968170701
VILA SANTA CRUZ;134;0,000145990968170701
ATALAIA;133;0,000144901483333606
AUXILIADORA;133;0,000144901483333606
ERMELINO MATARAZZO;133;0,000144901483333606
ESPIRITO SANTO;133;0,000144901483333606
ICOARACI;133;0,000144901483333606
JARDIM SAO JORGE;133;0,000144901483333606
